Site,Analyte,Sample.Date,ppt,lab.qual
South.Burlington.WWTP,PFHxS,9/17/2019,8.92,
Fayetteville-Cross.Creek.WWTP,PFHxS,9/17/2019,20.15,
Greensboro-TZ.Osborne.WRF,PFHxS,9/17/2019,15.3,
East.Burlington.WWTP,PFNA,9/17/2019,,1.75
Greensboro-TZ.Osborne.WRF,PFNA,9/17/2019,,7.4
Fayetteville-Rockfish.Creek.WWTP,PFNA,9/17/2019,0.57,
Town.of.Burgaw.Collection.System,PFNA,9/17/2019,0.802,
South.Burlington.WWTP,PFNA,9/17/2019,6.64,
Fayetteville-Cross.Creek.WWTP,PFNA,9/17/2019,1.67,
Town.of.Burgaw.Collection.System,PFNS,9/17/2019,,0.24
Fayetteville-Cross.Creek.WWTP,PFNS,9/17/2019,,1.67
Greensboro-TZ.Osborne.WRF,PFNS,9/17/2019,,1.7
Fayetteville-Rockfish.Creek.WWTP,PFNS,9/17/2019,,1.74
East.Burlington.WWTP,PFNS,9/17/2019,,1.75
South.Burlington.WWTP,PFNS,9/17/2019,,1.82
Town.of.Burgaw.Collection.System,PFOA,9/17/2019,3.95,
East.Burlington.WWTP,PFOA,9/17/2019,10.8,
South.Burlington.WWTP,PFOA,9/17/2019,29.7,
Fayetteville-Cross.Creek.WWTP,PFOA,9/17/2019,17.1,
Fayetteville-Rockfish.Creek.WWTP,PFOA,9/17/2019,8.11,
Greensboro-TZ.Osborne.WRF,PFOA,9/17/2019,14.9,
Town.of.Burgaw.Collection.System,PFOS,9/17/2019,9.29,
East.Burlington.WWTP,PFOS,9/17/2019,12.5,
South.Burlington.WWTP,PFOS,9/17/2019,23.7,
Fayetteville-Cross.Creek.WWTP,PFOS,9/17/2019,28.3,
Fayetteville-Rockfish.Creek.WWTP,PFOS,9/17/2019,7.7,
Greensboro-TZ.Osborne.WRF,PFOS,9/17/2019,47.1,
Town.of.Burgaw.Collection.System,PFOSA,9/17/2019,,0.369
Fayetteville-Cross.Creek.WWTP,PFOSA,9/17/2019,,1.62
Fayetteville-Rockfish.Creek.WWTP,PFOSA,9/17/2019,,1.69
Greensboro-TZ.Osborne.WRF,PFOSA,9/17/2019,,2.57
East.Burlington.WWTP,PFOSA,9/17/2019,,2.65
South.Burlington.WWTP,PFOSA,9/17/2019,,2.74
Town.of.Burgaw.Collection.System,PFPeA,9/17/2019,,0.244
East.Burlington.WWTP,PFPeA,9/17/2019,,1.75
South.Burlington.WWTP,PFPeA,9/17/2019,,1.82
Fayetteville-Cross.Creek.WWTP,PFPeA,9/17/2019,26.55,
Fayetteville-Rockfish.Creek.WWTP,PFPeA,9/17/2019,24,
Greensboro-TZ.Osborne.WRF,PFPeA,9/17/2019,20,
Town.of.Burgaw.Collection.System,PFPeS,9/17/2019,,0.244
Greensboro-TZ.Osborne.WRF,PFPeS,9/17/2019,,1.7
East.Burlington.WWTP,PFPeS,9/17/2019,,1.75
South.Burlington.WWTP,PFPeS,9/17/2019,,1.82
Fayetteville-Rockfish.Creek.WWTP,PFPeS,9/17/2019,0.76,
Fayetteville-Cross.Creek.WWTP,PFPeS,9/17/2019,1.04,
East.Burlington.WWTP,PFTeA,9/17/2019,,1.75
South.Burlington.WWTP,PFTeA,9/17/2019,,1.82
Greensboro-TZ.Osborne.WRF,PFTeA,9/17/2019,,7.4
Fayetteville-Cross.Creek.WWTP,PFTeA,9/17/2019,,17.4
Fayetteville-Rockfish.Creek.WWTP,PFTeA,9/17/2019,,18.2
Town.of.Burgaw.Collection.System,PFTeA,9/17/2019,1.45,
Town.of.Burgaw.Collection.System,PFTriA,9/17/2019,,0.244
East.Burlington.WWTP,PFTriA,9/17/2019,,1.75
South.Burlington.WWTP,PFTriA,9/17/2019,,1.82
Greensboro-TZ.Osborne.WRF,PFTriA,9/17/2019,,7.4
Fayetteville-Cross.Creek.WWTP,PFTriA,9/17/2019,,17.4
Fayetteville-Rockfish.Creek.WWTP,PFTriA,9/17/2019,,18.2
Town.of.Burgaw.Collection.System,PFUnA,9/17/2019,,0.244
Fayetteville-Cross.Creek.WWTP,PFUnA,9/17/2019,,1.74
East.Burlington.WWTP,PFUnA,9/17/2019,,1.75
South.Burlington.WWTP,PFUnA,9/17/2019,,1.82
Fayetteville-Rockfish.Creek.WWTP,PFUnA,9/17/2019,,1.82
Greensboro-TZ.Osborne.WRF,PFUnA,9/17/2019,,7.4
City.of.Raeford,4.2,9/16/2019,,
City.of.High.Point.Eastside.WWTP,N.EtFOSAA,9/16/2019,,1.7
City.of.Raeford,N.EtFOSAA,9/16/2019,,830
City.of.High.Point.Eastside.WWTP,N.MeFOSAA,9/16/2019,,1.7
City.of.Raeford,N.MeFOSAA,9/16/2019,,830
City.of.High.Point.Eastside.WWTP,PFBA,9/16/2019,,1.7
City.of.Raeford,PFBA,9/16/2019,,17
City.of.High.Point.Eastside.WWTP,PFBS,9/16/2019,,1.7
City.of.Raeford,PFBS,9/16/2019,80.4,
City.of.High.Point.Eastside.WWTP,PFDA,9/16/2019,,1.7
City.of.Raeford,PFDA,9/16/2019,0,
City.of.Raeford,PFDoA,9/16/2019,,420
City.of.High.Point.Eastside.WWTP,PFDS,9/16/2019,,1.7
City.of.Raeford,PFDS,9/16/2019,,170
City.of.Raeford,PFHpA,9/16/2019,4.44,
City.of.High.Point.Eastside.WWTP,PFHpA,9/16/2019,3.7,
City.of.High.Point.Eastside.WWTP,PFHpS,9/16/2019,,1.7
City.of.Raeford,PFHpS,9/16/2019,,170
City.of.High.Point.Eastside.WWTP,PFHxA,9/16/2019,10.8,
City.of.Raeford,PFHxA,9/16/2019,13.2,
City.of.Raeford,PFHxS,9/16/2019,61.8,
City.of.High.Point.Eastside.WWTP,PFHxS,9/16/2019,9.16,
City.of.High.Point.Eastside.WWTP,PFNA,9/16/2019,,1.7
City.of.Raeford,PFNA,9/16/2019,,170
City.of.High.Point.Eastside.WWTP,PFNS,9/16/2019,,1.7
