Site,Analyte,Sample.Date,ppt,lab.qual
City.of.Mebane.WWTP,PFDA,8/13/2019,7.64,
City.of.Mebane.WWTP,PFDoA,8/13/2019,,5.38
Town.of.Holly.Springs,PFDoA,8/13/2019,,8.2
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFDoA,8/13/2019,,95
City.of.Mebane.WWTP,PFDS,8/13/2019,,5.38
Town.of.Holly.Springs,PFDS,8/13/2019,,7.9
City.of.High.Point.Eastside.WWTP,PFDS,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFDS,8/13/2019,,95
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHpA,8/13/2019,,95
City.of.High.Point.Eastside.WWTP,PFHpA,8/13/2019,,
Town.of.Holly.Springs,PFHpA,8/13/2019,21,
City.of.Mebane.WWTP,PFHpA,8/13/2019,7.73,
City.of.Mebane.WWTP,PFHpS,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFHpS,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHpS,8/13/2019,,95
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHxA,8/13/2019,,95
City.of.High.Point.Eastside.WWTP,PFHxA,8/13/2019,13.4,
Town.of.Holly.Springs,PFHxA,8/13/2019,27,
City.of.Mebane.WWTP,PFHxA,8/13/2019,29.4,
Town.of.Holly.Springs,PFHxDA,8/13/2019,,8.2
City.of.Mebane.WWTP,PFHxS,8/13/2019,,5.38
Town.of.Holly.Springs,PFHxS,8/13/2019,,7.7
City.of.High.Point.Eastside.WWTP,PFHxS,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHxS,8/13/2019,,95
City.of.Mebane.WWTP,PFNA,8/13/2019,,5.38
Town.of.Holly.Springs,PFNA,8/13/2019,,8.2
City.of.High.Point.Eastside.WWTP,PFNA,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFNA,8/13/2019,,95
City.of.Mebane.WWTP,PFNS,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFNS,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFNS,8/13/2019,,95
City.of.High.Point.Eastside.WWTP,PFOA,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFOA,8/13/2019,,95
Town.of.Holly.Springs,PFOA,8/13/2019,10,
City.of.Mebane.WWTP,PFOA,8/13/2019,24.3,
Town.of.Holly.Springs,PFODA,8/13/2019,,8.2
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFOS,8/13/2019,,95
City.of.High.Point.Eastside.WWTP,PFOS,8/13/2019,15.4,
Town.of.Holly.Springs,PFOS,8/13/2019,12,
City.of.Mebane.WWTP,PFOS,8/13/2019,6.97,
City.of.Mebane.WWTP,PFOSA,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFOSA,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFOSA,8/13/2019,,95
City.of.Mebane.WWTP,PFPeA,8/13/2019,,5.38
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFPeA,8/13/2019,,95
City.of.High.Point.Eastside.WWTP,PFPeA,8/13/2019,60.8,
Town.of.Holly.Springs,PFPeA,8/13/2019,21,
City.of.Mebane.WWTP,PFPeS,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFPeS,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFPeS,8/13/2019,,95
Town.of.Holly.Springs,PFPrOPrA,8/13/2019,,16
City.of.Mebane.WWTP,PFTeA,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFTeA,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFTeA,8/13/2019,,95
Town.of.Holly.Springs,PFTeA,8/13/2019,,8.2
City.of.Mebane.WWTP,PFTriA,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFTriA,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFTriA,8/13/2019,,95
Town.of.Holly.Springs,PFTriA,8/13/2019,,8.2
City.of.Mebane.WWTP,PFUnA,8/13/2019,,5.38
City.of.High.Point.Eastside.WWTP,PFUnA,8/13/2019,,10.8
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFUnA,8/13/2019,,95
Town.of.Holly.Springs,PFUnA,8/13/2019,,8.2
Wallace.Regional.WWTP,N.EtFOSAA,8/12/2019,,25.3
Wallace.Regional.WWTP,N.MeFOSAA,8/12/2019,,5.05
Wallace.Regional.WWTP,PFBA,8/12/2019,,2.53
Wallace.Regional.WWTP,PFBS,8/12/2019,2.15,
Wallace.Regional.WWTP,PFDA,8/12/2019,,2.53
Wallace.Regional.WWTP,PFDoA,8/12/2019,,2.53
Wallace.Regional.WWTP,PFDS,8/12/2019,,2.45
Wallace.Regional.WWTP,PFHpA,8/12/2019,0.883,
Wallace.Regional.WWTP,PFHpS,8/12/2019,,2.4
Wallace.Regional.WWTP,PFHxA,8/12/2019,20.7,
Wallace.Regional.WWTP,PFHxS,8/12/2019,,2.3
Wallace.Regional.WWTP,PFNA,8/12/2019,1.04,
Wallace.Regional.WWTP,PFNS,8/12/2019,,2.42
Wallace.Regional.WWTP,PFOA,8/12/2019,2.96,
Wallace.Regional.WWTP,PFOS,8/12/2019,9.61,
Wallace.Regional.WWTP,PFOSA,8/12/2019,,11.7
Wallace.Regional.WWTP,PFPeA,8/12/2019,,2.53
Wallace.Regional.WWTP,PFPeS,8/12/2019,,2.37
Wallace.Regional.WWTP,PFTeA,8/12/2019,,12.6
Wallace.Regional.WWTP,PFTriA,8/12/2019,,12.6
Wallace.Regional.WWTP,PFUnA,8/12/2019,,2.53
Northeast.Brunswick.Regional,4.2,8/8/2019,,1.41
Northeast.Brunswick.Regional,6.2,8/8/2019,0.738,
Northeast.Brunswick.Regional,8.2,8/8/2019,0.513,
Northeast.Brunswick.Regional,HFPO.DA,8/8/2019,,49.31
City.of.Asheboro.WWTP,HFPO.DA,8/8/2019,,354.62
Northeast.Brunswick.Regional,N.EtFOSAA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,N.EtFOSAA,8/8/2019,,3.58
City.of.Asheboro.WWTP,N.EtFOSAA,8/8/2019,,10.1
Northeast.Brunswick.Regional,N.MeFOSAA,8/8/2019,,1.41
City.of.Asheboro.WWTP,N.MeFOSAA,8/8/2019,,10.1
Town.of.Burgaw.Collection.System,N.MeFOSAA,8/8/2019,,17.9
Northeast.Brunswick.Regional,PFBA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFBA,8/8/2019,,8.96
City.of.Asheboro.WWTP,PFBA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFBS,8/8/2019,,1.41
City.of.Asheboro.WWTP,PFBS,8/8/2019,,10.1
Town.of.Burgaw.Collection.System,PFBS,8/8/2019,1.86,
Town.of.Burgaw.Collection.System,PFDA,8/8/2019,,1.79
City.of.Asheboro.WWTP,PFDA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFDA,8/8/2019,1.8,
Town.of.Burgaw.Collection.System,PFDoA,8/8/2019,,1.79
City.of.Asheboro.WWTP,PFDoA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFDoA,8/8/2019,0.196,
Northeast.Brunswick.Regional,PFDS,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFDS,8/8/2019,,1.74
City.of.Asheboro.WWTP,PFDS,8/8/2019,,10.1
City.of.Asheboro.WWTP,PFHpA,8/8/2019,,10.1
Town.of.Burgaw.Collection.System,PFHpA,8/8/2019,0.701,
Northeast.Brunswick.Regional,PFHpA,8/8/2019,8.15,
Northeast.Brunswick.Regional,PFHpS,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFHpS,8/8/2019,,1.7
City.of.Asheboro.WWTP,PFHpS,8/8/2019,,10.1
City.of.Asheboro.WWTP,PFHxA,8/8/2019,13.5,
Northeast.Brunswick.Regional,PFHxA,8/8/2019,19.9,
Town.of.Burgaw.Collection.System,PFHxA,8/8/2019,18.9,
Northeast.Brunswick.Regional,PFHxS,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFHxS,8/8/2019,,1.63
City.of.Asheboro.WWTP,PFHxS,8/8/2019,,10.1
Town.of.Burgaw.Collection.System,PFNA,8/8/2019,,1.79
City.of.Asheboro.WWTP,PFNA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFNA,8/8/2019,0.871,
Northeast.Brunswick.Regional,PFNS,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFNS,8/8/2019,,1.72
City.of.Asheboro.WWTP,PFNS,8/8/2019,,10.1
Town.of.Burgaw.Collection.System,PFOA,8/8/2019,1.45,
City.of.Asheboro.WWTP,PFOA,8/8/2019,10.6,
Northeast.Brunswick.Regional,PFOA,8/8/2019,10,
City.of.Asheboro.WWTP,PFOS,8/8/2019,18.8,
Northeast.Brunswick.Regional,PFOS,8/8/2019,11.3,
Town.of.Burgaw.Collection.System,PFOS,8/8/2019,4.08,
Northeast.Brunswick.Regional,PFOSA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFOSA,8/8/2019,,8.33
City.of.Asheboro.WWTP,PFOSA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFPeA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFPeA,8/8/2019,,1.79
City.of.Asheboro.WWTP,PFPeA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFPeS,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFPeS,8/8/2019,,1.68
City.of.Asheboro.WWTP,PFPeS,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFTeA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFTeA,8/8/2019,,8.96
City.of.Asheboro.WWTP,PFTeA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFTriA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFTriA,8/8/2019,,8.96
City.of.Asheboro.WWTP,PFTriA,8/8/2019,,10.1
Northeast.Brunswick.Regional,PFUnA,8/8/2019,,1.41
Town.of.Burgaw.Collection.System,PFUnA,8/8/2019,,8.96
City.of.Asheboro.WWTP,PFUnA,8/8/2019,,10.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,N.EtFOSAA,8/7/2019,,4.05
City.of.Reidsville,N.EtFOSAA,8/7/2019,,11.1
Greensboro-TZ.Osborne.WRF,N.EtFOSAA,8/7/2019,,18
Cit.of.Clinton-Norman.H.Larkins.WWTP,N.MeFOSAA,8/7/2019,,4.05
City.of.Reidsville,N.MeFOSAA,8/7/2019,,11.1
Greensboro-TZ.Osborne.WRF,N.MeFOSAA,8/7/2019,,18
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFBA,8/7/2019,,10.1
City.of.Reidsville,PFBA,8/7/2019,,11.1
Greensboro-TZ.Osborne.WRF,PFBA,8/7/2019,27.3,
City.of.Reidsville,PFBS,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFBS,8/7/2019,2.6,
Greensboro-TZ.Osborne.WRF,PFBS,8/7/2019,39.3,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDA,8/7/2019,,2.03
Greensboro-TZ.Osborne.WRF,PFDA,8/7/2019,,10.2
City.of.Reidsville,PFDA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDoA,8/7/2019,,2.03
Greensboro-TZ.Osborne.WRF,PFDoA,8/7/2019,,10.2
City.of.Reidsville,PFDoA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDS,8/7/2019,,1.97
Greensboro-TZ.Osborne.WRF,PFDS,8/7/2019,,10.2
City.of.Reidsville,PFDS,8/7/2019,,11.1
City.of.Reidsville,PFHpA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHpA,8/7/2019,1.24,
Greensboro-TZ.Osborne.WRF,PFHpA,8/7/2019,22.3,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHpS,8/7/2019,,1.93
Greensboro-TZ.Osborne.WRF,PFHpS,8/7/2019,,10.2
City.of.Reidsville,PFHpS,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHxA,8/7/2019,8.47,
Greensboro-TZ.Osborne.WRF,PFHxA,8/7/2019,54.6,
City.of.Reidsville,PFHxA,8/7/2019,29.5,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHxS,8/7/2019,,1.84
City.of.Reidsville,PFHxS,8/7/2019,,11.1
Greensboro-TZ.Osborne.WRF,PFHxS,8/7/2019,19.6,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFNA,8/7/2019,,2.03
Greensboro-TZ.Osborne.WRF,PFNA,8/7/2019,,10.2
City.of.Reidsville,PFNA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFNS,8/7/2019,,2.03
Greensboro-TZ.Osborne.WRF,PFNS,8/7/2019,,10.2
City.of.Reidsville,PFNS,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFOA,8/7/2019,2.46,
Greensboro-TZ.Osborne.WRF,PFOA,8/7/2019,24.7,
City.of.Reidsville,PFOA,8/7/2019,16.4,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFOS,8/7/2019,2.54,
Greensboro-TZ.Osborne.WRF,PFOS,8/7/2019,36.2,
City.of.Reidsville,PFOS,8/7/2019,12.2,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFOSA,8/7/2019,,1.88
Greensboro-TZ.Osborne.WRF,PFOSA,8/7/2019,,10.2
City.of.Reidsville,PFOSA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFPeA,8/7/2019,12.2,
Greensboro-TZ.Osborne.WRF,PFPeA,8/7/2019,66.9,
City.of.Reidsville,PFPeA,8/7/2019,58.7,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFPeS,8/7/2019,,1.91
Greensboro-TZ.Osborne.WRF,PFPeS,8/7/2019,,10.2
City.of.Reidsville,PFPeS,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFTeA,8/7/2019,,10.1
Greensboro-TZ.Osborne.WRF,PFTeA,8/7/2019,,10.2
City.of.Reidsville,PFTeA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFTriA,8/7/2019,,10.1
Greensboro-TZ.Osborne.WRF,PFTriA,8/7/2019,,10.2
City.of.Reidsville,PFTriA,8/7/2019,,11.1
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFUnA,8/7/2019,,2.03
Greensboro-TZ.Osborne.WRF,PFUnA,8/7/2019,,10.2
City.of.Reidsville,PFUnA,8/7/2019,,11.1
Town.of.Ramseur.WWTP,4.2,8/6/2019,,1.25
North.Harnett.Regional,4.2,8/6/2019,,4.91
Sanford-Big.Buffalo.Creek.WWTP,4.2,8/6/2019,1.25,
Town.of.Ramseur.WWTP,6.2,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,6.2,8/6/2019,,1.27
North.Harnett.Regional,6.2,8/6/2019,1.08,
Town.of.Ramseur.WWTP,8.2,8/6/2019,,1.25
North.Harnett.Regional,8.2,8/6/2019,0.53,
Sanford-Big.Buffalo.Creek.WWTP,8.2,8/6/2019,6.09,
Town.of.Ramseur.WWTP,HFPO.DA,8/6/2019,,43.9
Sanford-Big.Buffalo.Creek.WWTP,HFPO.DA,8/6/2019,,44.52
North.Harnett.Regional,HFPO.DA,8/6/2019,,172
Town.of.Ramseur.WWTP,N.EtFOSAA,8/6/2019,,1.25
East.Burlington.WWTP,N.EtFOSAA,8/6/2019,,4.88
North.Harnett.Regional,N.EtFOSAA,8/6/2019,,4.91
South.Burlington.WWTP,N.EtFOSAA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,N.EtFOSAA,8/6/2019,,10.1
Sanford-Big.Buffalo.Creek.WWTP,N.EtFOSAA,8/6/2019,0.134,
Town.of.Ramseur.WWTP,N.MeFOSAA,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,N.MeFOSAA,8/6/2019,,1.27
North.Harnett.Regional,N.MeFOSAA,8/6/2019,,4.91
South.Burlington.WWTP,N.MeFOSAA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,N.MeFOSAA,8/6/2019,,10.1
East.Burlington.WWTP,N.MeFOSAA,8/6/2019,16.1,
Town.of.Ramseur.WWTP,PFBA,8/6/2019,,1.25
South.Burlington.WWTP,PFBA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFBA,8/6/2019,,10.1
East.Burlington.WWTP,PFBA,8/6/2019,141,
North.Harnett.Regional,PFBA,8/6/2019,9.38,
Sanford-Big.Buffalo.Creek.WWTP,PFBA,8/6/2019,15.4,
Sanford-Big.Buffalo.Creek.WWTP,PFBS,8/6/2019,,1.27
East.Burlington.WWTP,PFBS,8/6/2019,,4.88
North.Harnett.Regional,PFBS,8/6/2019,,4.91
South.Burlington.WWTP,PFBS,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFBS,8/6/2019,,10.1
Town.of.Ramseur.WWTP,PFBS,8/6/2019,344,
Town.of.Ramseur.WWTP,PFDA,8/6/2019,,1.25
Siler.City.Waste.Water.Treatment.Plant,PFDA,8/6/2019,,10.1
North.Harnett.Regional,PFDA,8/6/2019,0.297,
East.Burlington.WWTP,PFDA,8/6/2019,25.3,
South.Burlington.WWTP,PFDA,8/6/2019,7.2,
Sanford-Big.Buffalo.Creek.WWTP,PFDA,8/6/2019,1.85,
Town.of.Ramseur.WWTP,PFDoA,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFDoA,8/6/2019,,1.27
North.Harnett.Regional,PFDoA,8/6/2019,,4.91
South.Burlington.WWTP,PFDoA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFDoA,8/6/2019,,10.1
East.Burlington.WWTP,PFDoA,8/6/2019,7.47,
Town.of.Ramseur.WWTP,PFDS,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFDS,8/6/2019,,1.27
East.Burlington.WWTP,PFDS,8/6/2019,,4.88
North.Harnett.Regional,PFDS,8/6/2019,,4.91
South.Burlington.WWTP,PFDS,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFDS,8/6/2019,,10.1
Town.of.Ramseur.WWTP,PFHpA,8/6/2019,,1.25
Siler.City.Waste.Water.Treatment.Plant,PFHpA,8/6/2019,0.717,
East.Burlington.WWTP,PFHpA,8/6/2019,845,
South.Burlington.WWTP,PFHpA,8/6/2019,7.29,
North.Harnett.Regional,PFHpA,8/6/2019,12.5,
Sanford-Big.Buffalo.Creek.WWTP,PFHpA,8/6/2019,77.5,
Town.of.Ramseur.WWTP,PFHpS,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFHpS,8/6/2019,,1.27
East.Burlington.WWTP,PFHpS,8/6/2019,,4.88
North.Harnett.Regional,PFHpS,8/6/2019,,4.91
South.Burlington.WWTP,PFHpS,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFHpS,8/6/2019,,10.1
Siler.City.Waste.Water.Treatment.Plant,PFHxA,8/6/2019,5.89,
East.Burlington.WWTP,PFHxA,8/6/2019,706,
South.Burlington.WWTP,PFHxA,8/6/2019,27.7,
North.Harnett.Regional,PFHxA,8/6/2019,22.9,
Town.of.Ramseur.WWTP,PFHxA,8/6/2019,4.77,
Sanford-Big.Buffalo.Creek.WWTP,PFHxA,8/6/2019,44.2,
Town.of.Ramseur.WWTP,PFHxS,8/6/2019,,1.25
South.Burlington.WWTP,PFHxS,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFHxS,8/6/2019,,10.1
East.Burlington.WWTP,PFHxS,8/6/2019,16.1,
North.Harnett.Regional,PFHxS,8/6/2019,5.31,
Sanford-Big.Buffalo.Creek.WWTP,PFHxS,8/6/2019,6.38,
Town.of.Ramseur.WWTP,PFNA,8/6/2019,,1.25
South.Burlington.WWTP,PFNA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFNA,8/6/2019,,10.1
North.Harnett.Regional,PFNA,8/6/2019,0.551,
East.Burlington.WWTP,PFNA,8/6/2019,10.6,
Sanford-Big.Buffalo.Creek.WWTP,PFNA,8/6/2019,2.25,
Town.of.Ramseur.WWTP,PFNS,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFNS,8/6/2019,,1.27
East.Burlington.WWTP,PFNS,8/6/2019,,4.88
North.Harnett.Regional,PFNS,8/6/2019,,4.91
South.Burlington.WWTP,PFNS,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFNS,8/6/2019,,10.1
Siler.City.Waste.Water.Treatment.Plant,PFOA,8/6/2019,4.02,
East.Burlington.WWTP,PFOA,8/6/2019,64.6,
South.Burlington.WWTP,PFOA,8/6/2019,22.9,
North.Harnett.Regional,PFOA,8/6/2019,7.29,
Town.of.Ramseur.WWTP,PFOA,8/6/2019,2,
Sanford-Big.Buffalo.Creek.WWTP,PFOA,8/6/2019,11.5,
Siler.City.Waste.Water.Treatment.Plant,PFOS,8/6/2019,3.84,
East.Burlington.WWTP,PFOS,8/6/2019,56.4,
South.Burlington.WWTP,PFOS,8/6/2019,6.57,
North.Harnett.Regional,PFOS,8/6/2019,18.5,
Town.of.Ramseur.WWTP,PFOS,8/6/2019,45.7,
Sanford-Big.Buffalo.Creek.WWTP,PFOS,8/6/2019,40.8,
Sanford-Big.Buffalo.Creek.WWTP,PFOSA,8/6/2019,,0.322
Town.of.Ramseur.WWTP,PFOSA,8/6/2019,,1.25
East.Burlington.WWTP,PFOSA,8/6/2019,,4.88
North.Harnett.Regional,PFOSA,8/6/2019,,4.91
South.Burlington.WWTP,PFOSA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFOSA,8/6/2019,,10.1
Sanford-Big.Buffalo.Creek.WWTP,PFPeA,8/6/2019,75.7,
East.Burlington.WWTP,PFPeA,8/6/2019,523,
South.Burlington.WWTP,PFPeA,8/6/2019,107,
North.Harnett.Regional,PFPeA,8/6/2019,55.7,
Town.of.Ramseur.WWTP,PFPeA,8/6/2019,103,
Siler.City.Waste.Water.Treatment.Plant,PFPeA,8/6/2019,13,
Town.of.Ramseur.WWTP,PFPeS,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFPeS,8/6/2019,,1.27
East.Burlington.WWTP,PFPeS,8/6/2019,,4.88
North.Harnett.Regional,PFPeS,8/6/2019,,4.91
South.Burlington.WWTP,PFPeS,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFPeS,8/6/2019,,10.1
East.Burlington.WWTP,PFTeA,8/6/2019,,4.88
North.Harnett.Regional,PFTeA,8/6/2019,,4.91
South.Burlington.WWTP,PFTeA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFTeA,8/6/2019,,10.1
Sanford-Big.Buffalo.Creek.WWTP,PFTeA,8/6/2019,0.239,
Town.of.Ramseur.WWTP,PFTeA,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFTriA,8/6/2019,,1.27
East.Burlington.WWTP,PFTriA,8/6/2019,,4.88
North.Harnett.Regional,PFTriA,8/6/2019,,4.91
South.Burlington.WWTP,PFTriA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFTriA,8/6/2019,,10.1
Town.of.Ramseur.WWTP,PFTriA,8/6/2019,,1.25
Town.of.Ramseur.WWTP,PFUnA,8/6/2019,,1.25
Sanford-Big.Buffalo.Creek.WWTP,PFUnA,8/6/2019,,1.27
North.Harnett.Regional,PFUnA,8/6/2019,,4.91
South.Burlington.WWTP,PFUnA,8/6/2019,,5.07
Siler.City.Waste.Water.Treatment.Plant,PFUnA,8/6/2019,,10.1
East.Burlington.WWTP,PFUnA,8/6/2019,5.28,
Wilmington-James.A.Loughlin(Northside.WWTP,4.2,8/5/2019,,88.1
Wilmington-M'Kean.Maffitt(Southside.WWTP,4.2,8/5/2019,,88.7
City.of.Raeford,4.2,8/5/2019,,
Wilmington-James.A.Loughlin(Northside.WWTP,6.2,8/5/2019,,89
Wilmington-M'Kean.Maffitt(Southside.WWTP,6.2,8/5/2019,,89.6
Wilmington-James.A.Loughlin(Northside.WWTP,8.2,8/5/2019,,3.6
Wilmington-M'Kean.Maffitt(Southside.WWTP,8.2,8/5/2019,,3.62
Wilmington-James.A.Loughlin(Northside.WWTP,10.2,8/5/2019,,3.6
Wilmington-M'Kean.Maffitt(Southside.WWTP,10.2,8/5/2019,,3.62
Wilmington-James.A.Loughlin(Northside.WWTP,ADONA,8/5/2019,,1.87
Wilmington-M'Kean.Maffitt(Southside.WWTP,ADONA,8/5/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,HFPO.DA,8/5/2019,,
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSA,8/5/2019,,3.77
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSA,8/5/2019,,18.7
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSAA,8/5/2019,,3.75
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSAA,8/5/2019,,3.77
City.of.Durham-South.Durham.Water.Reclamation,N.EtFOSAA,8/5/2019,,4.88
City.of.Raeford,N.EtFOSAA,8/5/2019,,1900
Durham.County.Triangle.Wastewater.Treatment.Plant,N.EtFOSAA,8/5/2019,0.964,
City.of.Durham-South.Durham.Water.Reclamation,N.MeFOSAA,8/5/2019,,4.88
Durham.County.Triangle.Wastewater.Treatment.Plant,N.MeFOSAA,8/5/2019,,10.8
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSAA,8/5/2019,,18.7
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSAA,8/5/2019,,18.9
City.of.Raeford,N.MeFOSAA,8/5/2019,,1900
Wilmington-James.A.Loughlin(Northside.WWTP,Nafion.Byproduct.1,8/5/2019,,3.75
Wilmington-M'Kean.Maffitt(Southside.WWTP,Nafion.Byproduct.1,8/5/2019,,3.77
Wilmington-James.A.Loughlin(Northside.WWTP,Nafion.Byproduct.2,8/5/2019,1.27,
Wilmington-M'Kean.Maffitt(Southside.WWTP,Nafion.Byproduct.2,8/5/2019,1.75,
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSE,8/5/2019,,9.37
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSE,8/5/2019,,9.43
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSA,8/5/2019,,18.7
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSA,8/5/2019,,18.9
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSE,8/5/2019,,9.37
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSE,8/5/2019,,9.43
Wilmington-James.A.Loughlin(Northside.WWTP,PF3ONS,8/5/2019,,1.75
Wilmington-M'Kean.Maffitt(Southside.WWTP,PF3ONS,8/5/2019,,1.76
Wilmington-James.A.Loughlin(Northside.WWTP,PF3OUdS,8/5/2019,,3.53
Wilmington-M'Kean.Maffitt(Southside.WWTP,PF3OUdS,8/5/2019,,3.55
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFBA,8/5/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFBA,8/5/2019,,4.88
Wilmington-James.A.Loughlin(Northside.WWTP,PFBA,8/5/2019,,9.37
