"Type","Site","Analyte","Sample.Date","ppt","lab.qual","limit"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFHxA",2019-07-09,14,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFNS",2019-07-09,NA,"U","1.71"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFNA",2019-07-09,1.27,"J",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFOSA",2019-07-09,NA,"U","1.66"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","N-EtFOSAA",2019-07-09,NA,"U","1.68"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","N-MeFOSAA",2019-07-09,NA,"U","17.9"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFPeS",2019-07-09,NA,"U","1.68"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFPeA",2019-07-09,15.6,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFTeA",2019-07-09,NA,"U","8.93"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFTriA",2019-07-09,NA,"U","8.93"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFUnA",2019-07-09,NA,"U","1.79"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFOA",2019-07-09,6.61,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFOS",2019-07-09,8.83,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFBA",2019-07-09,4.28,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFBS",2019-07-09,6.83,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFDS",2019-07-09,NA,"U","1.69"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFDA",2019-07-09,NA,"U","1.74"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFDoA",2019-07-09,NA,"U","1.74"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFHpS",2019-07-09,NA,"U","1.65"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFHpA",2019-07-09,4.8,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFHxS",2019-07-09,3.41,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFHxA",2019-07-09,13,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFNS",2019-07-09,NA,"U","1.67"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFNA",2019-07-09,0.683,"J",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFOSA",2019-07-09,NA,"U","1.62"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","N-EtFOSAA",2019-07-09,NA,"U","3.47"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","N-MeFOSAA",2019-07-09,NA,"U","17.4"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFPeS",2019-07-09,NA,"U","1.63"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFPeA",2019-07-09,15.1,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFTeA",2019-07-09,NA,"U","8.69"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFTriA",2019-07-09,NA,"U","8.69"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFUnA",2019-07-09,NA,"U","1.74"
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFOA",2019-07-09,4.89,"",""
"WWTP","Wilmington-M'Kean.Maffitt(Southside).WWTP","PFOS",2019-07-09,13.4,"",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFBA",2019-07-09,15,"",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFBS",2019-07-09,NA,"U","1.1"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFDS",2019-07-09,NA,"U","2.4"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFDA",2019-07-09,1.1,"J",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFDoA",2019-07-09,NA,"U","1.2"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHpS",2019-07-09,NA,"U","1.1"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHpA",2019-07-09,3.6,"",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHxS",2019-07-09,NA,"U","1.1"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHxA",2019-07-09,15,"B",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFNS",2019-07-09,NA,"U","2.4"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFNA",2019-07-09,0.41,"J",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFOSA",2019-07-09,NA,"U","3"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","N-EtFOSAA",2019-07-09,NA,"U","2.5"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","N-MeFOSAA",2019-07-09,NA,"U","2.5"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFPeS",2019-07-09,NA,"U","1.1"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFPeA",2019-07-09,15,"",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFTeA",2019-07-09,NA,"U","1.2"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFTriA",2019-07-09,NA,"U","1.2"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFUnA",2019-07-09,NA,"U","1.2"
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFOA",2019-07-09,4.4,"",""
"WWTP","Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFOS",2019-07-09,NA,"U","1.2"
"WWTP","City.of.Mebane.WWTP","PFBA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFBS",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFDS",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFDA",2019-07-09,5.16,"",""
"WWTP","City.of.Mebane.WWTP","PFDoA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFHpS",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFHpA",2019-07-09,5.84,"",""
"WWTP","City.of.Mebane.WWTP","PFHxS",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFHxA",2019-07-09,28,"B",""
"WWTP","City.of.Mebane.WWTP","PFNS",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFNA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFOSA",2019-07-09,NA,"U","2.74"
"WWTP","City.of.Mebane.WWTP","N-EtFOSAA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","N-MeFOSAA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFPeS",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFPeA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFTeA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFTriA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFUnA",2019-07-09,NA,"U","2.7"
"WWTP","City.of.Mebane.WWTP","PFOA",2019-07-09,17.4,"",""
"WWTP","City.of.Mebane.WWTP","PFOS",2019-07-09,11.4,"",""
"WWTP","City.of.Reidsville","PFBA",2019-07-09,NA,"U","2.54"
"WWTP","City.of.Reidsville","PFBS",2019-07-09,NA,"U","2.54"
"WWTP","City.of.Reidsville","PFDS",2019-07-09,NA,"U","2.54"
"WWTP","City.of.Reidsville","PFDA",2019-07-09,3.47,"",""
"WWTP","City.of.Reidsville","PFDoA",2019-07-09,NA,"U","2.54"
"WWTP","City.of.Reidsville","PFHpS",2019-07-09,NA,"U","2.54"
