"lat","long","Site","Sample.Date","PFBA","PFBS","PFDS","PFDA","PFDoA","PFHpS","PFHpA","PFHxS","PFHxA","PFNS","PFNA","PFOSA","N.EtFOSAA","N.MeFOSAA","PFPeS","PFPeA","PFTeA","PFTriA","PFUnA","HFPO.DA","PFOA","PFOS","PFBA.lab","PFBS.lab","PFDS.lab","PFDA.lab","PFDoA.lab","PFHpS.lab","PFHpA.lab","PFHxS.lab","PFHxA.lab","PFNS.lab","PFNA.lab","PFOSA.lab","N.EtFOSAA.lab","N.MeFOSAA.lab","PFPeS.lab","PFPeA.lab","PFTeA.lab","PFTriA.lab","PFUnA.lab","HFPO.DA.lab","PFOA.lab","PFOS.lab","sum_pfas","sum_pfoa.pfos"
35.05953494,-78.86003082,"Fayetteville-Cross.Creek.WWTP","7/16/2019",21.3,NA,NA,2.97,NA,NA,11.9,20.4,35.5,NA,1.77,NA,NA,NA,NA,30,NA,NA,NA,NA,18.2,26.9,NA,2.75,2.75,NA,2.75,2.75,NA,"",NA,2.75,NA,2.75,2.75,2.75,2.75,NA,2.75,2.75,2.75,NA,NA,NA,168.94,45.1
35.54719755,-79.21987282,"Sanford-Big.Buffalo.Creek.WWTP","7/8/2019",12.1,NA,NA,1.86,NA,NA,18.8,31.9,NA,2.51,NA,NA,NA,NA,NA,50.8,NA,NA,NA,NA,11.6,46.3,NA,0.316,0.316,NA,0.316,0.316,NA,"",0.316,NA,0.316,0.32,0.316,0.316,0.316,NA,0.316,0.316,0.316,11.06,NA,NA,175.87,57.9
36.09382721,-79.37771112,"East.Burlington.WWTP","7/16/2019",116,49.5,NA,20.8,4.86,NA,873,NA,511,NA,11.7,NA,8.37,16.6,NA,374,NA,NA,4.97,NA,73,49.8,NA,NA,2.62,NA,NA,2.62,NA,"2.62",NA,2.62,NA,2.62,NA,NA,2.62,NA,2.62,2.62,NA,NA,NA,NA,2113.6,122.8
35.67154993,-78.94119022,"Cary.Western.Wake.Regional.Water.Reclamation.Facility","8/13/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,95,95,95,95,95,95,"95",95,95,95,95,95,110,95,95,95,95,95,NA,95,95,0,0
35.80812458,-79.78271331,"City.of.Randleman","8/14/2019",NA,NA,NA,NA,NA,NA,2.94,NA,8.56,NA,0.846,NA,NA,NA,NA,NA,0.255,NA,NA,NA,5.52,NA,1.38,1.38,1.38,1.38,1.38,1.38,NA,"1.38",NA,1.38,NA,1.38,1.38,1.38,1.38,1.38,NA,1.38,1.38,48.22,NA,1.38,18.121,5.52
34.55726739,-77.92518487,"Town.of.Burgaw.Collection.System","8/8/2019",NA,1.86,NA,NA,NA,NA,0.701,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,4.08,8.96,NA,1.74,1.79,1.79,1.7,NA,"1.63",NA,1.72,1.79,8.33,3.58,17.9,1.68,1.79,8.96,8.96,8.96,NA,NA,NA,26.991,5.53
35.72833511,-79.42704286,"Siler.City.Waste.Water.Treatment.Plant","8/6/2019",NA,NA,NA,NA,NA,NA,0.717,NA,5.89,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,4.02,3.84,10.1,10.1,10.1,10.1,10.1,10.1,NA,"10.1",NA,10.1,10.1,10.1,10.1,10.1,10.1,NA,10.1,10.1,10.1,NA,NA,NA,27.467,7.86
35.00515516,-78.34442384,"Cit.of.Clinton-Norman.H.Larkins.WWTP","8/7/2019",NA,2.6,NA,NA,NA,NA,1.24,NA,8.47,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,2.46,2.54,10.1,NA,1.97,2.03,2.03,1.93,NA,"1.84",NA,2.03,2.03,1.88,4.05,4.05,1.91,NA,10.1,10.1,2.03,NA,NA,NA,29.51,5
34.73817439,-77.99263394,"Wallace.Regional.WWTP","8/12/2019",NA,2.15,NA,NA,NA,NA,0.883,NA,20.7,NA,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,9.61,2.53,NA,2.45,2.53,2.53,2.4,NA,"2.3",NA,2.42,NA,11.7,25.3,5.05,2.37,2.53,12.6,12.6,2.53,NA,NA,NA,37.343,12.57
35.76613469,-79.78579884,"City.of.Asheboro.WWTP","8/8/2019",NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,18.8,10.1,10.1,10.1,10.1,10.1,10.1,10.1,"10.1",NA,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,354.62,NA,NA,42.9,29.4
