"Site","Sample.Date","Analyte","ppt","lab.qual","chain.length","lat","long"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-01-03,"NMeFOSAA",NA,120,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-01-03,"6.2",NA,120,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-01-03,"NMeFOSAA",NA,120,"long",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-01-03,"PFUnA",NA,83,"long",NA,NA
"NeuseRiver@SR2000",2018-10-25,"8.2",NA,83,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"8.2",NA,83,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-11-29,"8.2",NA,83,"long",NA,NA
"NeuseRiver@SR2000",2018-12-17,"8.2",NA,82,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-12-17,"8.2",NA,82,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-12-17,"8.2",NA,82,"long",NA,NA
"CityLake,HighPoint",2018-08-22,"NMeFOSAA",NA,82,"long",NA,NA
"BlowingRockTownPond",2018-08-21,"NMeFOSAA",NA,82,"long",NA,NA
"NeuseRiver@SR2000",2018-12-17,"PFUnA",NA,82,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-12-17,"PFUnA",NA,82,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-12-17,"PFUnA",NA,82,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFTriA",NA,82,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFTriA",NA,82,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFUnA",NA,82,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"8.2",NA,82,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFDS",NA,82,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFDS",NA,82,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFDS",NA,82,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"8.2",NA,82,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"NMeFOSAA",NA,82,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"6.2",NA,82,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"8.2",NA,82,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"NMeFOSAA",NA,82,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"4.2",NA,82,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"NMeFOSAA",NA,82,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFDoA",NA,82,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFHxA",NA,82,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFTriA",NA,82,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFTriA",NA,82,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"NMeFOSAA",NA,82,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFTriA",NA,82,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"6.2",NA,82,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"8.2",NA,82,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"6.2",NA,82,"short",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFBA",NA,82,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"8.2",NA,82,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"8.2",NA,82,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"8.2",NA,82,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"8.2",NA,82,"long",NA,NA
"BooneASULake",2018-08-21,"NMeFOSAA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-02-21,"PFTriA",NA,81,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-02-21,"PFTriA",NA,81,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-02-21,"PFTriA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"8.2",NA,81,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"8.2",NA,81,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-04-11,"PFDS",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFDS",NA,81,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-04-11,"PFDS",NA,81,"long",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-06-13,"8.2",NA,81,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-06-13,"NMeFOSAA",NA,81,"long",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-06-13,"6.2",NA,81,"short",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-06-13,"NMeFOSAA",NA,81,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-04-11,"PFTriA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-02-21,"NMeFOSAA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFTriA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"4.2",NA,81,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"NMeFOSAA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFDoA",NA,81,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFHxA",NA,81,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-01-03,"PFUnA",NA,81,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"4.2",NA,81,"short",NA,NA
