Type,Site,Analyte,Sample.Date,ppt,lab.qual,limit
WWTP,North.Harnett.Regional,PFPeA,7/8/2019,,U,1.25
WWTP,North.Harnett.Regional,PFTeA,7/8/2019,0.964,J,
WWTP,North.Harnett.Regional,PFTriA,7/8/2019,0.656,JBQ,
WWTP,North.Harnett.Regional,PFUnA,7/8/2019,,U,1.25
WWTP,North.Harnett.Regional,HFPO-DA,7/8/2019,,U,43.79
WWTP,North.Harnett.Regional,4:2 FTS,7/8/2019,,,
WWTP,North.Harnett.Regional,6:2 FTS,7/8/2019,,,
WWTP,North.Harnett.Regional,8:2 FTS,7/8/2019,,,
WWTP,North.Harnett.Regional,PFOA,7/8/2019,11.4,,
WWTP,North.Harnett.Regional,PFOS,7/8/2019,29.4,,
WWTP,North.Harnett.Regional,Sum(PFOA+PFOS),7/8/2019,40.8,,
WWTP,North.Harnett.Regional,Total.PFAS,7/8/2019,104.46,,
WWTP,City.of.High.Point.Eastside.WWTP,PFBA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFBS,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFDS,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFDA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFHpS,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFHpA,7/8/2019,6.62,,
WWTP,City.of.High.Point.Eastside.WWTP,PFHxS,7/8/2019,11.3,,
WWTP,City.of.High.Point.Eastside.WWTP,PFHxA,7/8/2019,18.4,B,
WWTP,City.of.High.Point.Eastside.WWTP,PFNS,7/8/2019,,U,2.672
WWTP,City.of.High.Point.Eastside.WWTP,PFNA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFOSA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,N-EtFOSAA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,N-MeFOSAA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFPeS,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFPeA,7/8/2019,27.1,,
WWTP,City.of.High.Point.Eastside.WWTP,PFTeA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFTriA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFUnA,7/8/2019,,U,2.67
WWTP,City.of.High.Point.Eastside.WWTP,PFOA,7/8/2019,14.2,,
WWTP,City.of.High.Point.Eastside.WWTP,PFOS,7/8/2019,27.7,,
WWTP,City.of.High.Point.Eastside.WWTP,Sum(PFOA+PFOS),7/8/2019,41.9,,
WWTP,City.of.High.Point.Eastside.WWTP,Total.PFAS,7/8/2019,105.32,,
