"Site","Sample.Date","X6.2","PFUnA","NMeFOSAA","PFDS","PFNA","PFDoA","PFDA","PFTriA","PFNS","PFBA","X8.2","X4.2","PFHxA","PFPeA","PFOS","FOSA","HFPO.DA","PFBS","PFHpA","PFHpS","PFHxS","PFOA","PFPeS"
"THIRDFORKCRKATNC54NRDURHAM","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"THIRDFORKCRKATNC54NRDURHAM","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"THIRDFORKCRKATNC54NRDURHAM","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NEWHOPECRKATSR1107NRBLANDS","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NEWHOPECRKATSR1107NRBLANDS","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NEWHOPECRKATSR1107NRBLANDS","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NORTHEASTCRKATSR1100NRNELSON","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","48","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NORTHEASTCRKATSR1100NRNELSON","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","42","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NORTHEASTCRKATSR1100NRNELSON","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","41","NA","NA","NA","49","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PHILSCRKNRCAVANDER","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PHILSCRKNRCAVANDER","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PHILSCRKNRCAVANDER","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
