"Site","Sample.Date","4.2","6.2","8.2","HFPO.DA","N.EtFOSAA","N.MeFOSAA","Nafion.Byproduct.2","PFBA","PFBS","PFDA","PFDoA","PFDS","PFHpA","PFHpS","PFHxA","PFHxS","PFMOAA","PFMOBA","PFMOPrA","PFNA","PFNS","PFO2HxA","PFO3OA","PFO4DA","PFOA","PFOS","PFOSA","PFPeA","PFPeS","PFPrOPrA","PFTeA","PFTriA","PFUnA","PFHxDA","PFODA","10.2","ADONA","N.EtFOSA","Nafion.Byproduct.1","N.EtFOSE","N.MeFOSA","N.MeFOSE","PF3ONS","PF3OUdS","PFECA.G","TotalPFAS","SumPFOA.PFOS","short.ppt","long.ppt","Type","lat","long"
"Sanford-Big.Buffalo.Creek.WWTP",2019-09-04,6.86,2650,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,16.6,61.8,21.3,NA,NA,NA,2.07,NA,NA,NA,NA,11,1000,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393.57,1011,324.2,1069.37,"WWTP",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility",2019-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,0,42.4,18.4,"WWTP",35.67154993,-78.94119022
"Northeast.Brunswick.Regional",2019-09-03,NA,0.617,1.09,NA,NA,NA,NA,NA,NA,3.27,1.02,NA,18.8,NA,29.5,NA,NA,NA,NA,1.13,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.359,11.2,58.7,35.659,"WWTP",34.27175034,-78.0055035
"Fayetteville-Rockfish.Creek.WWTP",2019-08-27,NA,NA,NA,NA,NA,NA,NA,7.47,3.93,0.51,NA,NA,12.1,0.31,23.9,9.89,NA,NA,NA,0.69,NA,NA,NA,NA,13.26,14.25,NA,79.1,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.82,27.51,137.51,57.31,"WWTP",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP",2019-08-27,NA,NA,NA,NA,NA,NA,NA,1.58,4.32,0.51,NA,NA,8.13,0.36,15.6,12.85,NA,NA,NA,0.65,NA,NA,NA,NA,9.21,22.3,NA,20.65,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.91,31.51,61.63,64.28,"WWTP",35.05953494,-78.86003082
"City.of.Graham",2019-08-22,NA,1.33,0.354,NA,NA,NA,NA,NA,NA,1.44,0.726,NA,4.28,NA,11.8,0.144,NA,NA,NA,1.62,NA,NA,NA,NA,8.97,12.8,NA,NA,NA,NA,2.82,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.42,21.77,26.48,48.94,"WWTP",36.04983302,-79.37369128
"City.of.Randleman",2019-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,NA,8.56,NA,NA,NA,NA,0.846,NA,NA,NA,NA,5.52,NA,NA,NA,NA,NA,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.921,5.52,21.9,25.021,"WWTP",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP",2019-08-14,NA,NA,NA,NA,NA,NA,NA,8.37,2.6,NA,NA,NA,40.7,NA,10.4,2,NA,NA,NA,2.08,NA,NA,NA,NA,6,11,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.05,17,78.57,39.48,"WWTP",34.81715622,-78.00565245
"City.of.Mebane.WWTP",2019-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.64,NA,NA,7.73,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.84,31.27,47.53,57.31,"WWTP",36.08862094,-79.28544925
"City.of.High.Point.Eastside.WWTP",2019-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.4,15.4,84.6,33.8,"WWTP",35.94262001,-79.90908086
